x,nm,E_exc_eV,photon_eV,tpa_nm,sigma_GM
451.694423652,nm,5.48973783784,2.74486891892,451.694423652,2.57146447314
451.293832092,nm,5.49461081081,2.74730540541,451.293832092,2.54715311216
450.893950442,nm,5.49948378378,2.74974189189,450.893950442,2.52253348732
450.494776818,nm,5.50435675676,2.75217837838,450.494776818,2.49763490373
450.096309341,nm,5.50922972973,2.75461486486,450.096309341,2.47255050279
449.698546139,nm,5.5141027027,2.75705135135,449.698546139,2.44742567178
449.301485345,nm,5.51897567568,2.75948783784,449.301485345,2.42244446933
448.905125102,nm,5.52384864865,2.76192432432,448.905125102,2.39781546662
448.509463556,nm,5.52872162162,2.76436081081,448.509463556,2.37375827688
448.114498862,nm,5.53359459459,2.7667972973,448.114498862,2.35049175931
447.720229181,nm,5.53846756757,2.76923378378,447.720229181,2.3282245197
447.32665268,nm,5.54334054054,2.77167027027,447.32665268,2.30714796503
446.933767532,nm,5.54821351351,2.77410675676,446.933767532,2.28743186183
446.541571917,nm,5.55308648649,2.77654324324,446.541571917,2.26922212771
446.150064021,nm,5.55795945946,2.77897972973,446.150064021,2.25264045845
445.759242038,nm,5.56283243243,2.78141621622,445.759242038,2.23778534734
445.369104166,nm,5.56770540541,2.7838527027,445.369104166,2.22473406858
444.97964861,nm,5.57257837838,2.78628918919,444.97964861,2.21354524948
444.590873583,nm,5.57745135135,2.78872567568,444.590873583,2.20426172757
444.202777302,nm,5.58232432432,2.79116216216,444.202777302,2.19691346401
443.815357991,nm,5.5871972973,2.79359864865,443.815357991,2.19152035365
443.42861388,nm,5.59207027027,2.79603513514,443.42861388,2.18809483072
443.042543206,nm,5.59694324324,2.79847162162,443.042543206,2.18664421526
442.657144211,nm,5.60181621622,2.80090810811,442.657144211,2.1871727792
442.272415144,nm,5.60668918919,2.80334459459,442.272415144,2.1896835347
441.88835426,nm,5.61156216216,2.80578108108,441.88835426,2.19417976253
441.504959819,nm,5.61643513514,2.80821756757,441.504959819,2.20066630675
441.122230089,nm,5.62130810811,2.81065405405,441.122230089,2.20915066616
440.740163341,nm,5.62618108108,2.81309054054,440.740163341,2.21964391373
440.358757856,nm,5.63105405405,2.81552702703,440.358757856,2.232161474
439.978011918,nm,5.63592702703,2.81796351351,439.978011918,2.24672378619
439.597923816,nm,5.6408,2.8204,439.597923816,2.26335687761
439.218491849,nm,5.64567297297,2.82283648649,439.218491849,2.28209286874
438.839714319,nm,5.65054594595,2.82527297297,438.839714319,2.30297042816
438.461589533,nm,5.65541891892,2.82770945946,438.461589533,2.32603519249
438.084115806,nm,5.66029189189,2.83014594595,438.084115806,2.35134016332
437.707291458,nm,5.66516486486,2.83258243243,437.707291458,2.37894609081
437.331114815,nm,5.67003783784,2.83501891892,437.331114815,2.40892185074
436.955584208,nm,5.67491081081,2.83745540541,436.955584208,2.44134481953
436.580697974,nm,5.67978378378,2.83989189189,436.580697974,2.47630124921
436.206454456,nm,5.68465675676,2.84232837838,436.206454456,2.51388664196
435.832852003,nm,5.68952972973,2.84476486486,435.832852003,2.55420612088
435.459888969,nm,5.6944027027,2.84720135135,435.459888969,2.59737479104
435.087563714,nm,5.69927567568,2.84963783784,435.087563714,2.64351808104
434.715874603,nm,5.70414864865,2.85207432432,434.715874603,2.69277205178
434.344820008,nm,5.70902162162,2.85451081081,434.344820008,2.74528365413
433.974398304,nm,5.71389459459,2.8569472973,433.974398304,2.8012109119
433.604607875,nm,5.71876756757,2.85938378378,433.604607875,2.86072299999
433.235447108,nm,5.72364054054,2.86182027027,433.235447108,2.92400017979
432.866914395,nm,5.72851351351,2.86425675676,432.866914395,2.99123354543
432.499008136,nm,5.73338648649,2.86669324324,432.499008136,3.06262452385
432.131726734,nm,5.73825945946,2.86912972973,432.131726734,3.13838406081
431.765068599,nm,5.74313243243,2.87156621622,431.765068599,3.21873141242
431.399032146,nm,5.74800540541,2.8740027027,431.399032146,3.30389244917
431.033615795,nm,5.75287837838,2.87643918919,431.033615795,3.39409736733
430.668817972,nm,5.75775135135,2.87887567568,430.668817972,3.48957769216
430.304637107,nm,5.76262432432,2.88131216216,430.304637107,3.59056245089
429.941071637,nm,5.7674972973,2.88374864865,429.941071637,3.69727339431
429.578120003,nm,5.77237027027,2.88618513514,429.578120003,3.80991915663
429.215780652,nm,5.77724324324,2.88862162162,429.215780652,3.92868827054
428.854052035,nm,5.78211621622,2.89105810811,428.854052035,4.05374100258
428.492932611,nm,5.78698918919,2.89349459459,428.492932611,4.18520004948
428.132420841,nm,5.79186216216,2.89593108108,428.132420841,4.32314024413
427.772515193,nm,5.79673513514,2.89836756757,427.772515193,4.46757756331
427.413214139,nm,5.80160810811,2.90080405405,427.413214139,4.61845790463
427.054516158,nm,5.80648108108,2.90324054054,427.054516158,4.7756462978
426.696419733,nm,5.81135405405,2.90567702703,426.696419733,4.93891741066
426.33892335,nm,5.81622702703,2.90811351351,426.33892335,5.10794836609
425.982025504,nm,5.8211,2.91055,425.982025504,5.28231494836
425.625724693,nm,5.82597297297,2.91298648649,425.625724693,5.4614921819
